Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Onda Alta","Dargen D'Amico","Ciao America","WrappedMarcin2025","Playlist","ITUM72400102","5rmWxr4qgejVuLWwxNzISC"
"The Dark Of The Matinée","Franz Ferdinand","Franz Ferdinand","WrappedMarcin2025","Playlist","GBCEL0300193","6gaWfLDoeG1eoiDAVBN4i8"
"Sygnalista","Strachy Na Lachy","Piekło","WrappedMarcin2025","Playlist","PLE782100115","49UX7ZYyucMMcz0spBtwU1"
"No Roots","Alice Merton","Mint","WrappedMarcin2025","Playlist","DEVQ71600001","3D5wnLaeVlCCIPzQOOAirA"
"Lusterka","Sw@da","#INDAWOODS","WrappedMarcin2025","Playlist","PL31T2417692","1AikOHlzrelVDGPqyHG6FD"
"Hey Baby (Drop It to the Floor) (feat. T-Pain)","Pitbull","Planet Pit (Deluxe Version)","WrappedMarcin2025","Playlist","USJAY1000153","3rfhI32Il2hVRKDkuGeeen"
"Je m'en fous","RIDSA","Je m'en fous - Single","WrappedMarcin2025","Playlist","FR6F31600580","6VSERfFBP1VhLVqQsmL4Rd"
"Kundel","Artur Rojek","Kundel","WrappedMarcin2025","Playlist","PLW911900009","1Ui3F54j4uK1yudHWNieJ4"
"22 godziny","Muchy","Szaroróżowe","WrappedMarcin2025","Playlist","PLA812100041","0jbaVDk5DhYgSrpohVXUmk"
"Ta fête","Stromae","racine carrée","WrappedMarcin2025","Playlist","BET671300190","7fWWbkok99Tvh8aly2Buox"
"Where Are You Now","Lost Frequencies","Where Are You Now","WrappedMarcin2025","Playlist","BEHP42100067","3uUuGVFu1V7jTQL60S1r8z"
"Nic na siłę","Transsexdisco","Surreal","WrappedMarcin2025","Playlist","PLE781700030","1da36uor0Pi2iANy98rohm"
"Mikrourazy","WASABI","Mikrourazy","WrappedMarcin2025","Playlist","SEYOK1956941","6npXnylio0d02vxWkyx2IT"
"Pięknie płyniesz","Dawid Podsiadło","Pięknie płyniesz","WrappedMarcin2025","Playlist","PLL892400002","5XIAnKNsdUim7GQsekL3uE"
"Where The Lights Are Low","Toby Romeo","Where The Lights Are Low","WrappedMarcin2025","Playlist","DEUM72007002","0Cnb8XdGDMHAmIRBUJMkIS"
"Nothing Breaks Like a Heart - Spotify Singles","Damiano David","Nothing Breaks Like a Heart - Spotify Singles","WrappedMarcin2025","Playlist","ITB002500032","5szvpZOIMuzCrwNrRwnB9B"
"Układ","Artur Rojek","Kundel","WrappedMarcin2025","Playlist","PLW912000007","2HdLij0lem7QrQRpJwX0sx"
"Her morning elegance","Pidżama Porno","Her morning elegance","WrappedMarcin2025","Playlist","PLE782300020","1f5Y3lI1jFLj5KbZNOmbCC"
"Droga","Leniwiec","Droga","WrappedMarcin2025","Playlist","PLI361014680","5tM9BzdTS204FUiCq8CR2l"
"Himalaje","Mela Koteluk","Himalaje","WrappedMarcin2025","Playlist","PLA552401015","6XYglXD1932VGqiT9wduK7"
"Up From the Bottom","Linkin Park","Up From the Bottom","WrappedMarcin2025","Playlist","USWB12500290","5IL3VPDy5siXiptYHF2aLS"
"Sznury aut","Strachy Na Lachy","Piekło","WrappedMarcin2025","Playlist","PLE782100114","5iAtGjZHoSezejy6iH83fe"
"Kamienie","Farben Lehre","Stacja wolność","WrappedMarcin2025","Playlist","PLG251700608","2X25uh4N5aFiB6wew0XxOA"
"Kill Bill","Daria ze Śląska","Tu była","WrappedMarcin2025","Playlist","PLC142200328","6OhY5gaWJzLkXAmWAlgcBM"
"Dziwna (feat. Artur Rojek)","Daria Zawiałow","Dziwna (feat. Artur Rojek)","WrappedMarcin2025","Playlist","PLB382500208","4pscA7I0aNoAYs3z56EDGS"
"Queen of Kings","Alessandra","Queen of Kings","WrappedMarcin2025","Playlist","NOW7B2301090","14LdhxElpZS0rKVV4nxtdA"
"Na noże","Ania Leon","Czas się bać!","WrappedMarcin2025","Playlist","PLA812400069","2OcWe1Hvcp7atGM8fcMdqe"
"Austin (Boots Stop Workin')","Dasha","What Happens Now?","WrappedMarcin2025","Playlist","QZTB92360479","2uqYupMHANxnwgeiXTZXzd"
"Słońce","Happysad","Podróże z i pod prąd","WrappedMarcin2025","Playlist","PLE781300183","3nZY123opbTR4yeyQRh7wl"
"Do It Again","Ray Dalton","Do It Again","WrappedMarcin2025","Playlist","DEE862300435","1IeQnQxCs2YJN6u3wQbUyX"
"Fallen Leaves","Billy Talent","Billy Talent II","WrappedMarcin2025","Playlist","USAT20612286","3jUTjCISntIUFL8jnAjzgc"
"Get Up (Rattle) [feat. Far East Movement] - Vocal Edit","Bingo Players","Get Up (Rattle) [feat. Far East Movement]","WrappedMarcin2025","Playlist","NLC281211858","3wLPRjw2XQpmowqXUXb3UF"
"Dzieciak","Zenek Grabowski","Rezyliencja I - Tak 3mać!","WrappedMarcin2025","Playlist","QZNWU2216306","0cg55ytX52mV98ez0CDmkV"
"Toukassé","SHANGUY","Toukassé","WrappedMarcin2025","Playlist","IT0311900033","1fPr1gdjoWKxMgl9tDxWsB"
"Mainstream","Daria ze Śląska","Mainstream","WrappedMarcin2025","Playlist","PLC142400378","4NlDnuMvtVNnFLqZWxsOwq"
"Wellerman - Sea Shanty","Nathan Evans","Wellerman - The Album","WrappedMarcin2025","Playlist","GBUM72100297","0WoQSoNO40qdY3j6PxMy4b"
"Cieszyn to nie San Francisco","8 Lat W Tybecie","Cieszyn to nie San Francisco","WrappedMarcin2025","Playlist","PLR642300024","41plX6vWCPhblMwf3DgWqh"
"Moje miasto","Leniwiec","Raj","WrappedMarcin2025","Playlist","PLB822000319","7LGpRK4399iLOJ9VEBhtyU"
"Introit (pieśń na wejście)","Leniwiec","Rozpaczliwie Wolny - Piosenki Edwarda Stachury","WrappedMarcin2025","Playlist","PLB821300114","3N5GpPdP8094glkBdv2TE4"
"Beautiful Madness","Michael Patrick Kelly","Beautiful Madness","WrappedMarcin2025","Playlist","DEE862000669","4tfLFDGypUWad5AT6772If"
"Sinceramente","Annalisa","E POI SIAMO FINITI NEL VORTICE","WrappedMarcin2025","Playlist","ITQ002301128","60QN1JrgYM7jcfW8pdQFqT"
"Désolée (Paris/Paname)","SHANGUY","Désolée (Paris/Paname)","WrappedMarcin2025","Playlist","IT0311900171","00KCwnrvIXX8GRU3ZMOIBW"
"Good Things Go","Linkin Park","From Zero (Deluxe Edition)","WrappedMarcin2025","Playlist","USWB12403473","7smscq05iWstwxPxZgN0rl"
"Płoną góry, płoną lasy","Męskie Granie Orkiestra","Płoną góry, płoną lasy","WrappedMarcin2025","Playlist","PLB822000599","2BWj75juZx0tQ82gzDYjXi"
"Pomorskie Vegas","Stach Bukowski","Pomorskie Vegas","WrappedMarcin2025","Playlist","PLB172300253","1Q8aNnTtYMuE2YfJtx0lU6"
"Shadows Of The Night - GIGI DAG Mix","Gigi D'Agostino","Shadows Of The Night (GIGI DAG Mix)","WrappedMarcin2025","Playlist","ITL012400003","5n3jPpWweeAWjSEIONrcXS"
"Oh, Natalie","UNKLFNKL","Oh, Natalie","WrappedMarcin2025","Playlist","ROUM72400362","6TBxVHcy4JOBlEKUzAnxaT"
"Pasja","Farben Lehre","Achtung 2012","WrappedMarcin2025","Playlist","PLG251200428","09XdDeIQvlQJVfPkwsX8Jr"
"Kilka westchnień","KARAŚ/ROGUCKI","Ostatni Bastion Romantyzmu","WrappedMarcin2025","Playlist","PLA811900403","3EMwcW0vMSOtdun4Xw5RkK"
"Zimny Bóg","Pidżama Porno","PP","WrappedMarcin2025","Playlist","PLE782300018","3VoznOarJ867NaYM5aQ7VM"
"Piwnica u Dowgierdów","Żurkowski","Lipcowi","WrappedMarcin2025","Playlist","PLB822300055","4AMBEXhRwIshtH9700Pmt9"
"Shakerando","Rhove","Shakerando","WrappedMarcin2025","Playlist","ITDJ72100030","4EC028SvtlC25iHQSG2OIa"
"Na zakręcie","KARAŚ/ROGUCKI","Ostatni Bastion Romantyzmu","WrappedMarcin2025","Playlist","PLA811900406","0o4y6ubUtjyGqq5dIyhBzi"
"i like the way you kiss me","Artemas","i like the way you kiss me","WrappedMarcin2025","Playlist","QZJ842400387","2GxrNKugF82CnoRFbQfzPf"
"Hymn for the Weekend","Coldplay","A Head Full of Dreams","WrappedMarcin2025","Playlist","GBAYE1500979","3RiPr603aXAoi4GHyXx0uy"
"Hej!","Sosnowski","Tylko się nie denerwuj","WrappedMarcin2025","Playlist","PLB822000050","2yeuzyar1YbZv804QyRU7Z"
"Jestem","Prawie Idealni","Jestem","WrappedMarcin2025","Playlist","QZDA72559495","2eg3IuuIzeQN4ampVHFiCA"
"Espresso Macchiato","Tommy Cash","Espresso Macchiato","WrappedMarcin2025","Playlist","DGA0S2441622","4zpNfuWJA3K4d9TS4qnOIB"
