Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Lisek Łakomczuszek","Jelonki","4Kids - Cool Baby","Marcinos wrapped 2023","Playlist","PLA282000033","6jjCdKy4q163VDfTKJBDm6"
"Kilka westchnień","KARAŚ/ROGUCKI","Ostatni Bastion Romantyzmu","Marcinos wrapped 2023","Playlist","PLA811900403","3EMwcW0vMSOtdun4Xw5RkK"
"Chłopcy","Myslovitz","Miłość w czasach popkultury","Marcinos wrapped 2023","Playlist","PLA149919001","1bufVeRDY4rwbM0hMIDZNd"
"Jeszcze w zielone gramy - piosenka z filmu Plan B","Daria Zawiałow","Jeszcze w zielone gramy - piosenka z filmu Plan B","Marcinos wrapped 2023","Playlist","PLC591700383","0YFimEGQrMddN5ZPFdxyMI"
"Płoną góry, płoną lasy","Męskie Granie Orkiestra","Męskie Granie 2020","Marcinos wrapped 2023","Playlist","PLB822000599","4H0UuRvs3T5WA1LwmIZzcn"
"Jest tylko teraz","Męskie Granie Orkiestra","Jest tylko teraz (feat. Bedoes, Krzysztof Zalewski & Kwiat Jabłoni)","Marcinos wrapped 2023","Playlist","PLA812200056","5dPw2tijsvrIfDKHzXYe2m"
"Matka","Matylda/Łukasiewicz","Matka","Marcinos wrapped 2023","Playlist","PL15B2200001","2EGG7pwYinIj6hSAwAwGkN"
"Hej!","Sosnowski","Tylko się nie denerwuj","Marcinos wrapped 2023","Playlist","PLB822000050","2yeuzyar1YbZv804QyRU7Z"
"Eldorado","sanah","UCZTA","Marcinos wrapped 2023","Playlist","PLA282200038","3YqafSKCCazkxZUdO23iWf"
"Psychologa!!!","Happysad","Wszystko jedno","Marcinos wrapped 2023","Playlist","PLE781300177","6j1QWxJamp4pGHQ77UGaTg"
"Biegnij Dalej Sam","Fisz Emade Tworzywo","Biegnij Dalej Sam","Marcinos wrapped 2023","Playlist","PLK681600036","0lxjxDUL1MeizLWOu0KcdU"
"Nie raj","Lao Che","Wiedza o społeczeństwie","Marcinos wrapped 2023","Playlist","PLB821800003","1LPzBeE0fNQkklHQayI3dw"
"Świt (feat. Daria Zawiałow, KROL & Igo)","Męskie Granie Orkiestra","Męskie Granie 2020","Marcinos wrapped 2023","Playlist","PLB382000216","1AMgUj4MewxfQB20Csn1sa"
"ostatnia nadzieja","sanah","UCZTA","Marcinos wrapped 2023","Playlist","PLA282200036","2KTfSSKBBfMLXwDqrtoOE5"
"Mów mi dobrze","Happysad","Mów mi dobrze","Marcinos wrapped 2023","Playlist","PLB820900146","32eIkmo0QZBuKzaD99oMfb"
"Tyle słońca w całym mieście","Anna Jantar","Tyle słońca w całym mieście","Marcinos wrapped 2023","Playlist","PLA247418224","0Z64VYDXM5lVZziPJHEd9L"
"Nie stało się nic","Męskie Granie Orkiestra","Męskie Granie 2020","Marcinos wrapped 2023","Playlist","PLB822000596","5qY9QupMfN7Zu6z8LqfXzU"
"Scenariusz dla moich sąsiadów","Myslovitz","Z rozmyślań przy śniadaniu","Marcinos wrapped 2023","Playlist","PLA149704001","2AmealVVZqRStMZVNyAByN"
"Ostatni blok w mieście","Happysad","Wszystko jedno","Marcinos wrapped 2023","Playlist","PLE781300173","4M6wLYrutpEitwyxafpecj"
"Drogi proste","Kwiat Jabłoni","Drogi proste","Marcinos wrapped 2023","Playlist","PLC592100076","5j9EQEQE15pE4Ts2V3pvV1"
"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)","Męskie Granie Orkiestra","I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)","Marcinos wrapped 2023","Playlist","PLB382100067","64F1Z2LAsf04V346A75hi1"
"Legendary","Welshly Arms","No Place Is Home","Marcinos wrapped 2023","Playlist","US43C1602374","2bDENJyfbxj0neGiXUFvIX"
"Jeszcze będzie przepięknie","Tilt","Czad Kommando Tilt","Marcinos wrapped 2023","Playlist","PLB170901114","7fYmDKSydjDrY4LWRSvAzf"
"Wodymidaj","Kwiat Jabłoni","Niemożliwe","Marcinos wrapped 2023","Playlist","PL28B1800011","3I1ucQNAeUpggV3n2ikufb"
"Gumisie","Andrzej Zaucha","The Best Disney... Ever!","Marcinos wrapped 2023","Playlist","USWD11161623","1iu2z6r4LLOqyK2auNIrv6"
"Kraków","Myslovitz","Miłość w czasach popkultury","Marcinos wrapped 2023","Playlist","PLA149919007","5EL3e4591zeABBe70qvxDV"
"Nikt tak pięknie nie mówił, że się boi miłości","Męskie Granie Orkiestra","Męskie Granie 2021","Marcinos wrapped 2023","Playlist","PLB822100248","6uMe6deDnQdvAtsHROVf5A"
"Kurier","Krzysztof Zalewski","Kurier","Marcinos wrapped 2023","Playlist","PLA811900159","4p4LHYrCIFi3yWTFMRoHIQ"
"Ołów","Muniek Staszczyk","Syn Miasta","Marcinos wrapped 2023","Playlist","PLC591900167","17DnSTv4YZBtbDbgt4nTk6"
"Rampampam","Minelli","Rampampam","Marcinos wrapped 2023","Playlist","ROGRA2101471","1esZgaqm0YKN87CIP3orJ3"
"Supermoce (feat. Igo, Mrozu & Vito Bambino)","Męskie Granie Orkiestra","Supermoce (feat. Igo, Mrozu & Vito Bambino)","Marcinos wrapped 2023","Playlist","PL2DY2301161","4EqPIm07a55pJQRSZw2Z4X"
"Trudno Tak (Razem Być Nam Ze Sobą)","Krzysztof Krawczyk","Duety","Marcinos wrapped 2023","Playlist","PLA320400032","2XaWRFfWAopw4MjhWzuJ15"
"Chodź Ze Mną","Power Of Trinity","Loccomotiv","Marcinos wrapped 2023","Playlist","PLB081100055","0xYpheBTU6cR0iVss4IYMi"
"Niebotyczne Niebowstąpienie","Strachy Na Lachy","Piekło","Marcinos wrapped 2023","Playlist","PLE782100109","0dtIocKQghtqBDY18XZeeN"
"I WANNA BE YOUR SLAVE","Måneskin","Teatro d'ira - Vol. I","Marcinos wrapped 2023","Playlist","ITB002100115","4pt5fDVTg5GhEvEtlz9dKk"
"It Don’t Matter - Spotify Singles","Alok","It Don’t Matter - Spotify Singles","Marcinos wrapped 2023","Playlist","BCCNG2100001","7ltLi7CG003USSGYsSba9s"
