Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Supermoce (feat. Igo, Mrozu & Vito Bambino)","Męskie Granie Orkiestra","Supermoce (feat. Igo, Mrozu & Vito Bambino)","Wrapped Marcinos 2024","Playlist","PL2DY2301161","4EqPIm07a55pJQRSZw2Z4X"
"Bez końca","Artur Rojek","Kundel","Wrapped Marcinos 2024","Playlist","PLW912000003","07xnoJyNRBq74nbf0Mp2m4"
"Dzikie Psy","WASABI","Dzikie Psy","Wrapped Marcinos 2024","Playlist","PL31T2400001","3edY6TrogD8E0bJq4Hnv1Z"
"Mikrourazy","WASABI","Mikrourazy","Wrapped Marcinos 2024","Playlist","SEYOK1956941","6npXnylio0d02vxWkyx2IT"
"Z Tobą na chacie","Daria Zawiałow","Z Tobą na chacie","Wrapped Marcinos 2024","Playlist","PLB382300355","3BqdgVwVeLA0NajUUFVo5h"
"Her morning elegance","Pidżama Porno","Her morning elegance","Wrapped Marcinos 2024","Playlist","PLE782300020","1f5Y3lI1jFLj5KbZNOmbCC"
"Kundel","Artur Rojek","Kundel","Wrapped Marcinos 2024","Playlist","PLW911900009","1Ui3F54j4uK1yudHWNieJ4"
"Sygnalista","Strachy Na Lachy","Piekło","Wrapped Marcinos 2024","Playlist","PLE782100115","49UX7ZYyucMMcz0spBtwU1"
"Kometa","Kwiat Jabłoni","Kometa","Wrapped Marcinos 2024","Playlist","PLC592200049","4N5Zr54gwQiDSYMk2Jyy0j"
"Cieszyn to nie San Francisco","8 Lat W Tybecie","Cieszyn to nie San Francisco","Wrapped Marcinos 2024","Playlist","PLR642300024","41plX6vWCPhblMwf3DgWqh"
"Quando Quando","The Avener","Quando Quando","Wrapped Marcinos 2024","Playlist","FRV602200022","1xrNLqTt0HmrwdZhigBAim"
"Ech, poleczko","Guzowianki","Ech, poleczko","Wrapped Marcinos 2024","Playlist","QZES72110688","5JeqaoMaERYtPTdluKhkW1"
"Mogło być nic","Kwiat Jabłoni","Mogło być nic","Wrapped Marcinos 2024","Playlist","PLC592000199","7eHEO2L50fQXg48HA5f1ya"
"la noia","Angelina Mango","la noia","Wrapped Marcinos 2024","Playlist","ITJG42400001","49R1F3rIdSzuPk7AcHi6d1"
"ITALODISCO","The Kolors","ITALODISCO","Wrapped Marcinos 2024","Playlist","ITQ002300342","3QAU2pj4LUKf7yaTgANlQV"
"Do śmierci mamy czas","Kasia Lins","OMEN","Wrapped Marcinos 2024","Playlist","PLUM72300336","11oY9v0cO8tksETYSQHOup"
"Chłodno","Stach Bukowski","Chłodno","Wrapped Marcinos 2024","Playlist","PLB172100133","2dVW1T0XjYLWyg4PFiWeYC"
"Jest tylko teraz","Męskie Granie Orkiestra","Jest tylko teraz (feat. Bedoes, Krzysztof Zalewski & Kwiat Jabłoni)","Wrapped Marcinos 2024","Playlist","PLA812200056","5dPw2tijsvrIfDKHzXYe2m"
"melodrama","Angelina Mango","poké melodrama","Wrapped Marcinos 2024","Playlist","ITJG42400007","5y7dpbKf0E3TW93k5w0JIs"
"Pył","Happysad","Pył","Wrapped Marcinos 2024","Playlist","PL83U2300002","0h6jMwQXR2qr6h2LqotF31"
"Kilka westchnień","KARAŚ/ROGUCKI","Ostatni Bastion Romantyzmu","Wrapped Marcinos 2024","Playlist","PLA811900403","3EMwcW0vMSOtdun4Xw5RkK"
"Kto powie mi jak","Kwiat Jabłoni","Niemożliwe","Wrapped Marcinos 2024","Playlist","PL28B1800007","3UWJ9ZIrkUbRmkUz6gcKeD"
"Jesień – Tańcuj (z filmu „Chłopi”)","L.U.C.","Jesień – Tańcuj (z filmu „Chłopi”)","Wrapped Marcinos 2024","Playlist","PLC592300213","1TwTHhkLEU4XcDRobMAUaW"
"Pomorskie Vegas","Stach Bukowski","Pomorskie Vegas","Wrapped Marcinos 2024","Playlist","PLB172300253","1Q8aNnTtYMuE2YfJtx0lU6"
"i like the way you kiss me","Artemas","yustyna","Wrapped Marcinos 2024","Playlist","QZJ842400387","3JG1uFc40wfyrqaWC7iv0e"
"Legendary","Welshly Arms","No Place Is Home","Wrapped Marcinos 2024","Playlist","US43C1602374","2bDENJyfbxj0neGiXUFvIX"
"Dom","Kwiat Jabłoni","Pokaz slajdów","Wrapped Marcinos 2024","Playlist","PLUM72300384","4HvTKaCeSm9LCbKlKmCQyv"
"Los","Stach Bukowski","Czerwony SUV","Wrapped Marcinos 2024","Playlist","PLB172000040","6b5rE98nEQANBz747OdzRc"
"ZITTI E BUONI","Måneskin","Teatro d'ira - Vol. I","Wrapped Marcinos 2024","Playlist","ITB002100112","776AftMmFFAWUIEAb3lHhw"
"Zimny Bóg","Pidżama Porno","PP","Wrapped Marcinos 2024","Playlist","PLE782300018","3VoznOarJ867NaYM5aQ7VM"
"Nie ma mnie","Kwiat Jabłoni","Mogło być nic","Wrapped Marcinos 2024","Playlist","PLC592100004","2DwMg20ZpSUxookuqBVG2K"
"Sznury aut","Strachy Na Lachy","Piekło","Wrapped Marcinos 2024","Playlist","PLE782100114","5iAtGjZHoSezejy6iH83fe"
"Zapach Pól","Żurkowski","KURZ","Wrapped Marcinos 2024","Playlist","PLB822100254","7q8mPzeggtQIt8g9444r4y"
"Złamane serce jest OK","Daria Zawiałow","Dziewczyna Pop","Wrapped Marcinos 2024","Playlist","PLB382300213","4588ZH7944EUrbDvdkr2sA"
"Moje miasto","Leniwiec","Raj","Wrapped Marcinos 2024","Playlist","PLB822000319","7LGpRK4399iLOJ9VEBhtyU"
"Na zakręcie","KARAŚ/ROGUCKI","Ostatni Bastion Romantyzmu","Wrapped Marcinos 2024","Playlist","PLA811900406","0o4y6ubUtjyGqq5dIyhBzi"
"All Eyes on You","Smash Into Pieces","Arcadia","Wrapped Marcinos 2024","Playlist","SEVWR2001602","5D29PI3g8UmTHLnjX7e3CQ"
"Płoną góry, płoną lasy","Męskie Granie Orkiestra","Płoną góry, płoną lasy","Wrapped Marcinos 2024","Playlist","PLB822000599","2BWj75juZx0tQ82gzDYjXi"
"The Motto","Tiësto","DRIVE","Wrapped Marcinos 2024","Playlist","CYA112001070","3j11iDncb7ZeDMw7lFucqM"
"Powrót do ziemi obiecanej","8 Lat W Tybecie","Powrót do ziemi obiecanej","Wrapped Marcinos 2024","Playlist","PLR642300001","2wQ9WVNJbLW8oLDHudld6f"
"Spacer do strefy zero","Strachy Na Lachy","Dodekafonia","Wrapped Marcinos 2024","Playlist","PLE781300021","37BxspYUyoSo6x1lgYwevZ"
"Nie stało się nic","Męskie Granie Orkiestra","Męskie Granie 2020","Wrapped Marcinos 2024","Playlist","PLB822000596","5qY9QupMfN7Zu6z8LqfXzU"
"Damy radę","Happysad","Nieprzygoda","Wrapped Marcinos 2024","Playlist","PLE781300194","07KPw1ymtT6UKE85E1KVmt"
"City of the Dead","Hollywood Undead","Hotel Kalifornia","Wrapped Marcinos 2024","Playlist","QMRSZ2200425","5bqnhwnHxcisxM8x7GLl3B"
"Koszulka","Dawid Tyszkowski","Koszulka","Wrapped Marcinos 2024","Playlist","PLB172200057","58GULPDRRkVUMm2AKaBEMm"
"Biegnij Dalej Sam","Fisz Emade Tworzywo","Biegnij Dalej Sam","Wrapped Marcinos 2024","Playlist","PLK681600036","0lxjxDUL1MeizLWOu0KcdU"
"Muka - Version 2017","Hey","CDN","Wrapped Marcinos 2024","Playlist","PLA811700108","1UEaxy9x8FUpmvKYxHvlEF"
"The Emptiness Machine","Linkin Park","The Emptiness Machine","Wrapped Marcinos 2024","Playlist","USWB12403464","2PnlsTsOTLE5jnBnNe2K0A"
"SUPRO","Daria Zawiałow","SUPRO","Wrapped Marcinos 2024","Playlist","PLB382300358","6tSXFwYjoB1JeQ7WCNcKxC"
"Chciałbym, żeby","Strachy Na Lachy","Piekło","Wrapped Marcinos 2024","Playlist","PLE782100116","6T8iPbLpmTsR0q3MuEbyY9"
"Mów mi dobrze","Happysad","Mów mi dobrze","Wrapped Marcinos 2024","Playlist","PLB820900146","32eIkmo0QZBuKzaD99oMfb"
"CASTLE OF GLASS","Linkin Park","LIVING THINGS","Wrapped Marcinos 2024","Playlist","USWB11200795","1r1fPuhj9H4VdXr7OK6FL5"
