Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Sedona,Anna Bates,Sedona,TopFrash2025,Playlist,QZDA42531021,7b7ILSiNTtbn16VYqvIqrG
Dave's TV,The Thing,The Thing,TopFrash2025,Playlist,QZPEW2586885,4Y5g3iXxuyiZYDw69wPRsL
Nkosi's Fantasia,Miki Ikhifa,Nkosi's Fantasia: Chapter One,TopFrash2025,Playlist,QZTBE2363382,0imRQRfzB7MW7zruc0RbLZ
coming around,fliss,coming around,TopFrash2025,Playlist,UKELY2500021,2aNCgj2Px3flyBD5kqS2WJ
Can You Fix Your Heart?,HU,Can You Fix Your Heart,TopFrash2025,Playlist,GXBNP2508641,5TgnPAEtz84lYjljbcu8MG
You Could Hate Me,Sophia Stel,Object Permanence (Deluxe Edition),TopFrash2025,Playlist,QM6MZ2411904,4FW012Xh3vSGRmw4rpGLAR
I Want It All,Ullah,I Want It All,TopFrash2025,Playlist,AUGBT2431066,711qQxgXzTRc7UzXBG8MHe
NEW AGE,sleepazoid,NEW AGE,TopFrash2025,Playlist,AUGBT2534654,1iBoLtHJkiR4JHcZSoDtF9
Syd Sweeney,Smut,Tomorrow Comes Crashing,TopFrash2025,Playlist,QM6YT2507002,2jYOztbDn1k73MVc2dlQdO
Nausicaä (Love Will Be Revealed),Cameron Winter,Heavy Metal,TopFrash2025,Playlist,USBQU2400170,2tdNTV4xpZgiom27mENc2N
WHAT A FEELING,Glazyhaze,SONIC,TopFrash2025,Playlist,DGA0L2476206,2LyNujeCmWNaKzDulgZkgk
Skins,The Orchestra (For Now),Skins,TopFrash2025,Playlist,GX2QY2400017,5munQvyxlq8hZNvTIrKoQT
LIAR,TERE!,LIAR,TopFrash2025,Playlist,QT62V2501758,0wMYl9soncYc7G3GtMiRK7
Subliminals,Saint Ludo,Subliminals,TopFrash2025,Playlist,QT5M42586675,2gyn0L8It5sc7Tw8eQlkFY
I Don't Go Out,googly eyes,I Don't Go Out,TopFrash2025,Playlist,USA2P2534341,1MyaKBtXxY6fVXKpGnfpZh
Woman Lake,snuggle,Goodbyehouse,TopFrash2025,Playlist,FR96X2534930,13jIYWdJqaXqON3URRS6Q3
Shoulders,Jo The Man The Music,Shoulders,TopFrash2025,Playlist,ATT802519001,25YhlblobWyjLS07Y1fMuj
ME TRAES BN MAL,eydrey,ME TRAES BN MAL,TopFrash2025,Playlist,CA5KR2545455,0keuVaCZB3mHwATx3Xak0x
Glide,ALZZY,Glide,TopFrash2025,Playlist,AUG0H2501227,7e2polOF7Yjrs3eGiexCVW
Say Ciao,Niah Steiner,Romantica,TopFrash2025,Playlist,FRX282555151,2gDCKgrPUXLfNTtwNbmE8T
Storming Out,Seago,Storming Out,TopFrash2025,Playlist,QZK6M2582629,3H7IGbRRh3rHy3d2b9jGsS
You Don't Know,Nico Play,You Don't Know,TopFrash2025,Playlist,QZFYY2532900,2pdDaacrQEeT8QH47TiPvr
Keep On Keeping On,Tommy WÁ,Somewhere Only We Go,TopFrash2025,Playlist,GBK3W2503388,7mXrTFd6AYhuOzIqiCHrun
Even if it's a Lie (I Don't Mind),Yndling,Time Time Time (I'm in the Palm of Your Hand),TopFrash2025,Playlist,GX38U2560705,6rua8r6OWbwBisNEsXtyRW
i love you,Olivia C. Dacal,i love you,TopFrash2025,Playlist,AUMEV2562500,75V1A6dRJHgAx4dugivNX9
Easy Does It,Emily Ann Roberts,Memory Lane,TopFrash2025,Playlist,QMFMF2422034,2RcpZxqA62aa4icEZ7Xo86
Hotel TV,Folk Bitch Trio,Now Would Be A Good Time,TopFrash2025,Playlist,US38Y2547102,0rmV9NKcTQ7YvvDQAOP7oL
when you leave,woody,"highs, lows & stargazing",TopFrash2025,Playlist,GBAYE2500065,6P9eHLKr7YYniDhFAF3AGy
