Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"taki mały ja","kuqe 2115","nareszcie w domu","TopPolska2025","Playlist","PL3B02400007","23rMVeJqT3Esu6BjTFCscV"
"LOLA","Żabson","HOLLYWOOD SMILE","TopPolska2025","Playlist","PL2DY2500185","5AhdjJudenQlp1IrNthII9"
"„Tak to leciało!”","Otsochodzi","TTHE GRIND","TopPolska2025","Playlist","PLI292400815","77qp2lzKsMmOeyKbtnoSVI"
"Falochrony","Roxie","Falochrony","TopPolska2025","Playlist","PL2B92400057","6rCz0E0G6El6irdft7Zjgp"
"undressed","sombr","I Barely Know Her","TopPolska2025","Playlist","USWB12500737","0TFTAtCYhp2tQ9KcJIZb55"
"Chyba że z Tobą","MODELKI","Chyba że z Tobą","TopPolska2025","Playlist","PLUM72400116","0peRfvtx1Je91FxQtii5DJ"
"Pięknie płyniesz","Dawid Podsiadło","Pięknie płyniesz","TopPolska2025","Playlist","PLL892400002","5XIAnKNsdUim7GQsekL3uE"
"Sweater Weather","The Neighbourhood","I Love You.","TopPolska2025","Playlist","USSM11300080","2QjOHCTQ1Jl3zawyYOpxh6"
"Golden","HUNTR/X","KPop Demon Hunters (Soundtrack from the Netflix Film)","TopPolska2025","Playlist","QZ8BZ2513510","1CPZ5BxNNd0n0nF4Orb9JS"
"Good Luck, Babe!","Chappell Roan","Good Luck, Babe!","TopPolska2025","Playlist","USUG12401967","0WbMK4wrZ1wFSty9F7FCgu"
"WOW","Fagata","WOW","TopPolska2025","Playlist","PLC062518257","2EiWaXhjxMPa1gSXAMj65S"
