Track name,Artist name,Album,Spotify Popularity,Spotify Release Date,Spotify Release Year,Track Age,Tags,Genres,bpm,energy,danceability,mood,Track Artist,Update_date
Agora Hills,Doja Cat,Scarlet,79.0,2023-09-22,2023,1,"'pop', 'rnb', 'rap', 'Hip-Hop', 'hip hop'","'pop', 'rap', 'Hip-Hop'",122.0,0.2181,1.1902,energetic,Agora Hills Doja Cat,2025/11/30
Ain't No Sun Since You've Been Gone,Dusty Springfield,Dusty... Definitely (Expanded Edtion),28.0,1968-11-22,1968,55,"'soul', 'female vocalists', '60s', 'pop', 'oldies'","'soul', 'pop'",148.0,0.2311,0.9843,energetic,Ain't No Sun Since You've Been Gone Dusty Springfield,2025/11/30
Ale jazz!,sanah,Irenka,57.0,2021-05-06,2021,2,,,102.0,0.2469,1.2335,neutral,Ale jazz! sanah,2025/11/30
Alive,Sia,This Is Acting,60.0,2016-01-29,2016,7,"'pop', 'Ballad', 'female', 'female vocalists', 'australian'",'pop',100.0,0.1602,0.9216,neutral,Alive Sia,2025/11/30
All Eyes,Imagine Dragons,Hell And Silence EP,47.0,2010-06-01,2010,14,"'alternative', 'alternative rock', 'indie rock', 'indie', 'indie pop'","'alternative', 'alternative rock', 'indie rock', 'indie pop'",137.0,0.2091,1.0694,energetic,All Eyes Imagine Dragons,2025/11/30
All Eyes on You,Smash Into Pieces,Arcadia,73.0,2015-06-29,2015,9,"'alternative rock', 'rock', 'hard rock', 'seen live', 'swedish'","'alternative rock', 'rock', 'hard rock'",91.0,0.2916,1.102,neutral,All Eyes on You Smash Into Pieces,2025/11/30
All Good Things (Come To An End),Nelly Furtado,Loose,71.0,2006-01-01,2006,17,"'pop', 'female vocalists', 'Canadian', 'folk', 'singer-songwriter'",'pop',100.0,0.222,1.084,bright,All Good Things (Come To An End) Nelly Furtado,2025/11/30
All I Need (feat. Beth Hirsch),Air,Moon Safari,70.0,1998-01-16,1998,26,"'electronic', 'chillout', 'ambient', 'french', 'electronica'","'electronic', 'ambient', 'electronica'",95.0,0.208,0.9044,neutral,All I Need (feat. Beth Hirsch) Air,2025/11/30
All I Wanna Do,Sheryl Crow,Tuesday Night Music Club,75.0,1993-08-03,1993,31,"'female vocalists', 'rock', 'pop', 'singer-songwriter', 'alternative'","'rock', 'pop', 'alternative'",120.0,0.2473,1.1876,neutral,All I Wanna Do Sheryl Crow,2025/11/30
All the Clowns,Edguy,Mandrake,41.0,2001-09-24,2001,23,"'Power metal', 'heavy metal', 'metal', 'melodic metal', 'edguy'","'Power metal', 'heavy metal', 'metal'",104.0,0.1507,1.044,neutral,All the Clowns Edguy,2025/11/30
Allentown Jail (Remastered),Dusty Springfield,50 Hits With “The Springfields” (Remastered),1.0,2019-12-11,2019,4,"'soul', 'female vocalists', '60s', 'pop', 'oldies'","'soul', 'pop'",,0.1756,1.0323,unknown,Allentown Jail (Remastered) Dusty Springfield,2025/11/30
Always Forever,Cults,Static,83.0,2013-10-15,2013,10,"'indie pop', 'Lo-Fi', 'experimental', 'seen live', 'noise'","'indie pop', 'Lo-Fi', 'noise'",161.0,0.1944,1.0206,energetic,Always Forever Cults,2025/11/30
Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),86.0,2018-10-05,2018,6,"'Love', 'best of 2018', 'Soundtrack', 'pop', 'country'","'Soundtrack', 'pop', 'country'",131.0,0.1088,0.9556,energetic,Always Remember Us This Way Lady Gaga,2025/11/30
Andrew,Julia Marcell,Proxy,24.0,2016-04-12,2016,7,"'polish', 'indie', 'alternative', 'art pop', '2016 single'",'alternative',128.0,0.2394,0.9701,energetic,Andrew Julia Marcell,2025/11/30
Anioły i Demony,Farben Lehre,Achtung 2012,60.0,2020-03-19,2020,3,"'punk rock', 'punk', 'polish', 'polish punk', 'rock'","'punk', 'rock'",170.0,0.251,1.1257,energetic,Anioły i Demony Farben Lehre,2025/11/30
Ann Wants to Dance,Papooz,Green Juice,49.0,2016-06-03,2016,8,"'indie pop', 'french', 'pop', 'indie', 'france'","'indie pop', 'pop'",100.0,0.185,1.0579,neutral,Ann Wants to Dance Papooz,2025/11/30
Another Love,Tom Odell,Long Way Down (Deluxe),89.0,2013-06-24,2013,11,"'indie', 'seen live', 'folk', 'british', 'singer-songwriter'",,122.0,0.1443,0.8706,energetic,Another Love Tom Odell,2025/11/30
Anti-Hero,Taylor Swift,Midnights,84.0,2022-10-21,2022,1,"'country', 'pop', 'female vocalists', 'singer-songwriter', 'acoustic'","'country', 'pop'",131.0,0.0973,1.1107,energetic,Anti-Hero Taylor Swift,2025/11/30
Anyone,Justin Bieber,Justice,28.0,2018-11-06,2018,5,"'pop', 'black metal', 'justin bieber', 'rnb', 'Hip-Hop'","'pop', 'black metal', 'Hip-Hop'",117.0,0.1182,0.9371,neutral,Anyone Justin Bieber,2025/11/30
Anywayz,Esthero,Breath From Another,26.0,2020-05-01,2020,4,"'trip-hop', 'female vocalists', 'downtempo', 'electronic', 'electronica'","'trip-hop', 'downtempo', 'electronic', 'electronica'",170.0,0.1601,1.0503,energetic,Anywayz Esthero,2025/11/30
Arizona,BARANOVSKI,BARANOVSKI 2,32.0,2021-10-22,2021,3,,,112.0,0.2562,1.277,neutral,Arizona BARANOVSKI,2025/11/30
Arrival to Earth,Steve Jablonsky,Transformers: The Score,64.0,2007-10-01,2007,16,"'Soundtrack', 'instrumental', 'composer', 'score', 'movie score composers'","'Soundtrack', 'instrumental'",108.0,0.1014,0.8259,neutral,Arrival to Earth Steve Jablonsky,2025/11/30
Aruarian Dance (interlude),Kapa Boy,Aruarian Dance (interlude),37.0,2023-08-18,2023,1,"'ambient', 'japan', 'electronic', 'instrumental', 'downtempo'","'ambient', 'electronic', 'instrumental', 'downtempo'",84.0,0.1285,0.7065,neutral,Aruarian Dance (interlude) Kapa Boy,2025/11/30
As It Was,Harry Styles,Harry's House,90.0,2022-05-20,2022,1,"'pop', 'seen live', 'rock', 'pop rock', 'alternative'","'pop', 'rock', 'alternative'",117.0,0.3434,1.2041,neutral,As It Was Harry Styles,2025/11/30
Astrolog,Jacek Kaczmarski,Wojna Postu Z Karnawalem,21.0,2002-09-07,2002,21,"'polish', 'poezja spiewana', 'poetry', 'bard', 'singer-songwriter'",,115.0,0.0502,0.8625,neutral,Astrolog Jacek Kaczmarski,2025/11/30
At Last,Etta James,At Last!,78.0,1960,1960,63,"'blues', 'jazz', 'soul', 'female vocalists', 'rhythm and blues'","'blues', 'jazz', 'soul'",128.0,0.0706,0.891,energetic,At Last Etta James,2025/11/30
At The Break Of Dawn,Arion,At The Break Of Dawn (feat. Elize Ryd),52.0,2018-10-19,2018,6,,,122.0,0.2681,1.0471,energetic,At The Break Of Dawn Arion,2025/11/30
Atlantis,Seafret,Tell Me It's Real (Expanded Edition),86.0,2016-01-29,2016,8,"'british', 'duo', 'numetal', 'd', '2015 single'",,110.0,0.197,1.0071,neutral,Atlantis Seafret,2025/11/30
Atoma,Dark Tranquillity,Atoma,53.0,2016-11-04,2016,8,"'Melodic Death Metal', 'metal', 'death metal', 'chillout', 'pop'","'metal', 'death metal', 'pop'",148.0,0.2526,0.9955,energetic,Atoma Dark Tranquillity,2025/11/30
Atomic - Remastered/2001,Blondie,Eat To The Beat,47.0,1979-10-01,1979,44,"'new wave', '80s', 'rock', 'female vocalists', 'pop'","'new wave', 'rock', 'pop'",134.0,0.2108,1.0837,energetic,Atomic - Remastered/2001 Blondie,2025/11/30
Aunt Rhody,The Springfields,Silver Threads & Golden Needles,4.0,2017,2017,6,"'Sarah Records', 'twee', 'indie pop', 'pop', '60s'","'indie pop', 'pop'",125.0,0.2319,0.8685,energetic,Aunt Rhody The Springfields,2025/11/30
Austin (Boots Stop Workin'),Dasha,What Happens Now?,88.0,2024-02-16,2024,0,"'country', 'cuntry', 'tvx core'",'country',115.0,0.2591,1.1889,neutral,Austin (Boots Stop Workin') Dasha,2025/11/30
B012,Bletka,B012,64.0,2024-03-27,2024,0,"'pop', 'female vocalists', 'polish', 'poland'",'pop',100.0,0.1721,1.2262,neutral,B012 Bletka,2025/11/30
BANDIT,Don Toliver,Bandit,82.0,2024-06-14,2024,0,"'rap', 'trap', 'Hip-Hop', 'seen live', 'rnb'","'rap', 'trap', 'Hip-Hop'",131.0,0.2782,1.1573,energetic,BANDIT Don Toliver,2025/11/30
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,100.0,2024-05-17,2024,0,"'pop', 'indie pop', 'seen live', 'electropop', 'indie'","'pop', 'indie pop', 'electropop'",104.0,0.2345,1.1589,neutral,BIRDS OF A FEATHER Billie Eilish,2025/11/30
BTW,Max Wassen,BTW,41.0,2003,2003,21,"'hip hop', 'rap', 'hiphop', 'party', 'music'",'rap',144.0,0.2723,1.2731,energetic,BTW Max Wassen,2025/11/30
BTW (Mamy tylko siebie),Strachy Na Lachy,Grabaż i Strachy na Lachy,41.0,2003,2003,21,"'rock', 'alternative rock', 'alternative', 'polish', 'seen live'","'rock', 'alternative rock', 'alternative'",128.0,0.0454,1.1284,neutral,BTW (Mamy tylko siebie) Strachy Na Lachy,2025/11/30
BUBBLETEA,Quebonafide,ROMANTIC PSYCHO,64.0,2020-04-02,2020,3,"'rap', 'Hip-Hop', 'seen live', 'polish', ':v'","'rap', 'Hip-Hop'",99.0,0.1577,1.1647,neutral,BUBBLETEA Quebonafide,2025/11/30
BURN,¥$,VULTURES 1,62.0,2025-04-04,2025,0,"'rap', 'Hip-Hop', 'hip hop', 'trap', 'Kanye West'","'rap', 'Hip-Hop', 'trap'",117.0,0.2847,1.0511,bright,BURN ¥$,2025/11/30
BaRock,Jelonek,Jelonek,33.0,2007,2007,17,"'instrumental metal', 'instrumental', 'symphonic metal', 'polish', 'Classical'","'instrumental', 'symphonic metal', 'Classical'",108.0,0.1196,0.9201,neutral,BaRock Jelonek,2025/11/30
Babooshka,Kate Bush,Never for Ever,61.0,1980-09-08,1980,43,"'female vocalists', 'singer-songwriter', 'pop', 'alternative', '80s'","'pop', 'alternative'",108.0,0.044,0.9565,neutral,Babooshka Kate Bush,2025/11/30
Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,82.0,2023-04-06,2023,1,"'dance', 'C', 'remix', 'f', 'E'",,128.0,0.3309,1.091,energetic,Baby Don't Hurt Me David Guetta,2025/11/30
Bad Dream,Wallows,Bad Dream,65.0,2024-05-24,2024,0,"'indie', 'indie rock', 'rock and roll over', 'jaq claims', 'WSUM 91.7 FM Madison'",'indie rock',88.0,0.21,0.9497,neutral,Bad Dream Wallows,2025/11/30
Bad Habit,Steve Lacy,Gemini Rights,85.0,2022-07-15,2022,2,"'jazz', 'free jazz', 'Avant-Garde Jazz', 'saxophone', 'soprano sax'","'jazz', 'free jazz', 'Avant-Garde Jazz'",170.0,0.3053,1.0816,energetic,Bad Habit Steve Lacy,2025/11/30
Bad Habits,Ed Sheeran,Bad Habits,84.0,2021-10-25,2021,3,"'acoustic', 'british', 'singer-songwriter', 'easy-listening', 'pop'",'pop',125.0,0.2658,1.22,energetic,Bad Habits Ed Sheeran,2025/11/30
Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),88.0,2009-11-05,2009,14,"'pop', 'Lady Gaga', 'dance', 'female vocalists', 'addictive'",'pop',120.0,0.2688,1.1235,bright,Bad Romance Lady Gaga,2025/11/30
Bal u Senatora '93,Pidżama Porno,Złodzieje zapalniczek (Reedycja),47.0,2007,2007,17,"'punk rock', 'rock', 'punk', 'polish', 'alternative'","'rock', 'punk', 'alternative'",152.0,0.3046,1.0193,energetic,Bal u Senatora '93 Pidżama Porno,2025/11/30
Bam Bam (feat. Ed Sheeran),Camila Cabello,Familia,75.0,2022-03-04,2022,1,"'pop', 'female vocalists', 'cuba', 'cuban', 'seen live'",'pop',95.0,0.1784,1.3033,bright,Bam Bam (feat. Ed Sheeran) Camila Cabello,2025/11/30
Bang Bang,Dalida,L'Intégrale Des Enregistrements Orlando,78.0,2016-12-13,2016,7,"'french', 'female vocalists', 'chanson francaise', 'pop', 'arabic'",'pop',152.0,0.1767,0.965,energetic,Bang Bang Dalida,2025/11/30
Bankierzy,Jacek Kaczmarski,Wojna Postu Z Karnawalem,22.0,2002-09-07,2002,21,"'polish', 'poezja spiewana', 'poetry', 'bard', 'singer-songwriter'",,161.0,0.0862,1.1175,energetic,Bankierzy Jacek Kaczmarski,2025/11/30
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],73.0,2023-06-23,2023,1,"'Hip-Hop', 'rap', 'rnb', 'pop', 'hip hop'","'Hip-Hop', 'rap', 'pop'",115.0,0.2321,1.4891,bright,Barbie World (with Aqua) [From Barbie The Album] Nicki Minaj,2025/11/30
Bartzabel,Behemoth,I Loved You at Your Darkest,33.0,2018-10-05,2018,6,"'black metal', 'Blackened Death Metal', 'Progressive metal', 'death metal', 'progressive black metal'","'black metal', 'Progressive metal', 'death metal'",110.0,0.2629,0.9781,neutral,Bartzabel Behemoth,2025/11/30
Battle I,Yasunori Nishiki,OCTOPATH TRAVELER Original Soundtrack,37.0,2018-07-13,2018,6,,,156.0,0.1893,1.0451,energetic,Battle I Yasunori Nishiki,2025/11/30
Be Mine,Ofenbach,Be Mine,76.0,2016-11-25,2016,7,"'electronic', 'dance', 'pop', 'House', 'french'","'electronic', 'pop', 'House'",122.0,0.2437,1.1432,energetic,Be Mine Ofenbach,2025/11/30
Be My Queen,Seafret,Most of Us Are Strangers,49.0,2020-03-13,2020,4,,,110.0,0.2569,1.0632,bright,Be My Queen Seafret,2025/11/30
Beautiful People (feat. Khalid),Ed Sheeran,No.6 Collaborations Project,73.0,2019-06-28,2019,4,"'acoustic', 'british', 'singer-songwriter', 'easy-listening', 'pop'",'pop',125.0,0.1373,1.076,energetic,Beautiful People (feat. Khalid) Ed Sheeran,2025/11/30
Beautiful Things,Benson Boone,Beautiful Things,89.0,2024-01-18,2024,0,"'pop', 'pop rock', 'seen live', 'rock', 'USA'","'pop', 'rock'",106.0,0.1823,1.0113,neutral,Beautiful Things Benson Boone,2025/11/30
Beggin',Måneskin,Chosen,86.0,2017-12-08,2017,7,"'rock', 'glam rock', 'italian', 'seen live', 'alternative rock'","'rock', 'glam rock', 'alternative rock'",134.0,0.2493,1.0959,energetic,Beggin' Måneskin,2025/11/30
