Track name,Artist name,Album,Spotify Popularity,Spotify Release Date,Spotify Release Year,Track Age,Tags,Genres,bpm,energy,danceability,mood,Track Artist,Update_date
Flames,David Guetta,Flames,66.0,2018-03-22,2018,6,"'pop', 'sia', 'electronica', 'french', 'dance'","'pop', 'electronica'",94.0,0.2747,1.1462,bright,Flames David Guetta,2025/11/30
Flashing Lights,Kanye West,Graduation,87.0,2007-09-11,2007,17,"'Hip-Hop', 'rap', 'hip hop', 'rnb', 'Kanye West'","'Hip-Hop', 'rap'",91.0,0.1115,1.0974,bright,Flashing Lights Kanye West,2025/11/30
"Flightless Bird, American Mouth",Iron & Wine,The Shepherd's Dog,70.0,2007-09-25,2007,16,"'folk', 'indie', 'singer-songwriter', 'acoustic', 'indie rock'",'indie rock',152.0,0.1761,0.8615,energetic,"Flightless Bird, American Mouth Iron & Wine",2025/11/30
Flowers,Miley Cyrus,Endless Summer Vacation,89.0,2023-08-18,2023,0,"'pop', 'female vocalists', 'Disney', 'dance', 'better than selena gomez'","'pop', 'Disney'",117.0,0.2914,1.1774,neutral,Flowers Miley Cyrus,2025/11/30
Fly Away,Tones And I,Welcome To The Madhouse,78.0,1998-05-12,1998,25,"'pop', 'australian', 'indie pop', 'female vocalists', 'alternative'","'pop', 'indie pop', 'alternative'",125.0,0.2414,1.1258,energetic,Fly Away Tones And I,2025/11/30
For Those About to Fight for Metal,Ensiferum,Two Paths,34.0,2017-09-15,2017,7,"'folk metal', 'metal', 'viking metal', 'Melodic Death Metal', 'finnish'","'folk metal', 'metal', 'viking metal'",97.0,0.2479,1.1012,bright,For Those About to Fight for Metal Ensiferum,2025/11/30
For the Worst,Wax Tailor,By Any Beats Necessary,44.0,2016-10-14,2016,8,"'trip-hop', 'downtempo', 'electronic', 'Hip-Hop', 'french'","'trip-hop', 'downtempo', 'electronic', 'Hip-Hop'",89.0,0.1851,1.1097,neutral,For the Worst Wax Tailor,2025/11/30
Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,85.0,2024-04-18,2024,0,"'country', 'pop', 'female vocalists', 'singer-songwriter', 'acoustic'","'country', 'pop'",95.0,0.0974,1.0323,neutral,Fortnight (feat. Post Malone) Taylor Swift,2025/11/30
Fourth of July,Sufjan Stevens,Carrie & Lowell,81.0,2015-03-31,2015,9,"'folk', 'singer-songwriter', 'indie', 'indie folk', 'Heartbreaking'",'indie folk',122.0,0.0909,0.871,energetic,Fourth of July Sufjan Stevens,2025/11/30
Fragile Heart,Charlie Dée,Husbands and Wives,0.0,2025-04-21,2025,0,"'seen live', 'singer-songwriter', 'dutch', 'female vocalists', 'Rotterdam'",,117.0,0.1605,0.8501,neutral,Fragile Heart Charlie Dée,2025/11/30
Freaks,Surf Curse,Freaks,86.0,2021-05-15,2021,3,"'Lo-Fi', 'Surf', 'Garage Rock', 'indie', 'indie rock'","'Lo-Fi', 'Surf', 'indie rock'",89.0,0.1225,1.0115,bright,Freaks Surf Curse,2025/11/30
Freed from Desire (feat. Indiiana),Drenchill,Freed from Desire (feat. Indiiana),64.0,2018-11-09,2018,5,"'Portugal', 'portuguese'",,125.0,0.2553,1.2763,energetic,Freed from Desire (feat. Indiiana) Drenchill,2025/11/30
Freeze,Cellar Darling,The Spell,46.0,2019-03-22,2019,5,,,134.0,0.304,1.028,energetic,Freeze Cellar Darling,2025/11/30
Friday I'm In Love,The Cure,Wish,79.0,1992-01-01,1992,32,"'post-punk', 'new wave', 'alternative', '80s', 'rock'","'new wave', 'alternative', 'rock'",137.0,0.1178,1.0513,energetic,Friday I'm In Love The Cure,2025/11/30
From Hell With Love,Beast In Black,From Hell With Love,61.0,2019-02-08,2019,5,"'Power metal', 'heavy metal', 'metal', '2010s', '2019'","'Power metal', 'heavy metal', 'metal'",120.0,0.2269,1.0887,neutral,From Hell With Love Beast In Black,2025/11/30
Frozen Garden,Emily Jane White,They Moved In Shadow All Together,41.0,2016-04-29,2016,8,"'chillout', 'pop', 'japanese', 'emo', 'female vocalists'",'pop',117.0,0.2796,1.016,neutral,Frozen Garden Emily Jane White,2025/11/30
Full Circle,Five Finger Death Punch,Full Circle,61.0,2020-02-28,2020,4,'heavy metal','heavy metal',148.0,0.3686,1.1167,energetic,Full Circle Five Finger Death Punch,2025/11/30
Fury Of The Storm,DragonForce,Sonic Firestorm,59.0,2004-01-01,2004,20,"'Power metal', 'speed metal', 'metal', 'DragonForce', 'heavy metal'","'Power metal', 'speed metal', 'metal', 'heavy metal'",100.0,0.2779,1.1405,bright,Fury Of The Storm DragonForce,2025/11/30
Futurismo,Vito Bambino,Pracownia,37.0,2023-04-27,2023,0,,,120.0,0.1783,1.1166,neutral,Futurismo Vito Bambino,2025/11/30
Fylgjutal,Wardruna,Kvitravn,36.0,2021-01-22,2021,3,,,131.0,0.2235,0.9519,energetic,Fylgjutal Wardruna,2025/11/30
GOSSIP (feat. Tom Morello),Måneskin,RUSH!,76.0,2023-01-20,2023,0,"'rock', 'glam rock', 'italian', 'seen live', 'alternative rock'","'rock', 'glam rock', 'alternative rock'",141.0,0.2215,1.1413,energetic,GOSSIP (feat. Tom Morello) Måneskin,2025/11/30
Gabriel,Lamb,What Sound,45.0,1964-01-01,1964,60,"'trip-hop', 'electronic', 'chillout', 'female vocalists', 'electronica'","'trip-hop', 'electronic', 'electronica'",165.0,0.0567,0.9754,energetic,Gabriel Lamb,2025/11/30
Gaddaar,Bloodywood,Rakshak,55.0,2022-02-18,2022,2,"'heavy metal', 'metal', 'folk metal', 'Indian', 'male vocalists'","'heavy metal', 'metal', 'folk metal'",104.0,0.3123,1.1857,bright,Gaddaar Bloodywood,2025/11/30
Gata Only,FloyyMenor,EL COMIENZO,89.0,2024-02-02,2024,0,"'Reggaeton', 'chile', 'reggaeton chileno', 'LPF', 'malianteo'",,100.0,0.2388,1.174,neutral,Gata Only FloyyMenor,2025/11/30
Gdy nie ma dzieci,Kult,Ostateczny krach systemu korporacji,57.0,1998,1998,25,"'rock', 'polish', 'alternative', 'punk rock', 'polish rock'","'rock', 'alternative'",112.0,0.0397,1.0249,neutral,Gdy nie ma dzieci Kult,2025/11/30
Gdzie jest biały węgorz ? (Zejście),Cypis,Narkotyki są nielegalne,59.0,2023-10-06,2023,1,"'polish', 'Hip-Hop', 'alternative', 'white rappers', '10s'","'Hip-Hop', 'alternative'",120.0,0.2297,1.4393,neutral,Gdzie jest biały węgorz ? (Zejście) Cypis,2025/11/30
Genie In a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition),81.0,1999,1999,24,"'pop', 'female vocalists', 'soul', 'rnb', 'dance'","'pop', 'soul'",117.0,0.131,1.3478,bright,Genie In a Bottle Christina Aguilera,2025/11/30
Genziara,GENZIE,Genziara,62.0,2024-03-10,2024,0,"'rap', 'polish', 'polska', 'poland', 'polskie'",'rap',115.0,0.2739,1.3179,neutral,Genziara GENZIE,2025/11/30
Geraldines Routine,Tape Five,Swing Patrol,48.0,2015-08-17,2015,9,"'swing', 'electro swing', 'jazz', 'dance', 'clarinet'","'swing', 'jazz'",120.0,0.2264,1.2421,neutral,Geraldines Routine Tape Five,2025/11/30
Get Down On It - Single Version,Kool & The Gang,The Very Best Of Kool & The Gang (Reissue),72.0,2018-05-25,2018,5,"'funk', 'soul', 'Disco', '70s', '80s'","'funk', 'soul', 'Disco'",110.0,0.0681,1.3153,bright,Get Down On It - Single Version Kool & The Gang,2025/11/30
Get Free,Major Lazer,Free the Universe,61.0,2013-04-15,2013,11,"'seen live', 'dancehall', 'electronic', 'reggae', 'dub'","'dancehall', 'electronic', 'reggae', 'dub'",117.0,0.1236,1.1023,neutral,Get Free Major Lazer,2025/11/30
Get Naked,Max Wassen,Get Naked,47.0,1999-05-02,1999,25,"'hip hop', 'rap', 'hiphop', 'party', 'music'",'rap',120.0,0.2666,1.4102,bright,Get Naked Max Wassen,2025/11/30
"Get Up, Stand Up",Lee Ritenour,The Very Best Of Lee Ritenour,58.0,2024-02-09,2024,0,"'jazz', 'Smooth Jazz', 'Fusion', 'guitar', 'jazz guitar'","'jazz', 'Smooth Jazz', 'Fusion'",91.0,0.0394,1.0692,neutral,"Get Up, Stand Up Lee Ritenour",2025/11/30
Get the Party Started,P!nk,M!ssundaztood (Expanded Edition),72.0,2001,2001,22,"'pop', 'pink', 'dance', 'female vocalists', 'rock'","'pop', 'rock'",128.0,0.1855,1.3408,energetic,Get the Party Started P!nk,2025/11/30
Ghost,ConKi,Ghost,85.0,2021-03-19,2021,2,,,120.0,0.2843,1.1104,bright,Ghost ConKi,2025/11/30
Ghost,Justin Bieber,Justice,85.0,2021-03-19,2021,3,"'pop', 'black metal', 'justin bieber', 'rnb', 'Hip-Hop'","'pop', 'black metal', 'Hip-Hop'",102.0,0.1805,0.9858,neutral,Ghost Justin Bieber,2025/11/30
Ghost in the Mist,Lacuna Coil,Delirium,30.0,2016-05-27,2016,8,"'Gothic Metal', 'alternative metal', 'heavy metal', 'metal', 'Passionate'","'Gothic Metal', 'heavy metal', 'metal'",137.0,0.3098,1.0476,energetic,Ghost in the Mist Lacuna Coil,2025/11/30
Girl In The Red Dress,Gregg Karukas,Looking Up,55.0,2005-01-01,2005,19,"'Smooth Jazz', 'piano', 'jazz', 'ambient', 'Gregg Karukas'","'Smooth Jazz', 'jazz', 'ambient'",120.0,0.143,1.2035,bright,Girl In The Red Dress Gregg Karukas,2025/11/30
Girl on Fire,Alicia Keys,Girl on Fire (Remixes) - EP,79.0,2012-11-18,2012,12,"'pop', 'soul', 'rnb', 'female vocalists', '2012'","'pop', 'soul'",131.0,0.2169,0.9918,energetic,Girl on Fire Alicia Keys,2025/11/30
Glimpse of Us,Joji,Glimpse of Us,84.0,2022-11-04,2022,2,"'Lo-Fi', 'rnb', 'Hip-Hop', 'alternative rnb', 'japanese'","'Lo-Fi', 'Hip-Hop'",122.0,0.1535,0.803,energetic,Glimpse of Us Joji,2025/11/30
Glitter & Gold,Rebecca Ferguson,Heaven (Deluxe),71.0,2017-09-29,2017,6,"'soul', 'british', 'female vocalists', 'pop', 'jazz'","'soul', 'pop', 'jazz'",88.0,0.2661,1.1127,neutral,Glitter & Gold Rebecca Ferguson,2025/11/30
"Gloria, RV 589: I. Gloria in excelsis Deo. Allegro",Antonio Vivaldi,Vivaldi: Gloria,18.0,2009-08-24,2009,14,"'Classical', 'baroque', 'instrumental', 'composers', 'classic'","'Classical', 'baroque', 'instrumental', 'classic'",122.0,0.0962,0.9071,energetic,"Gloria, RV 589: I. Gloria in excelsis Deo. Allegro Antonio Vivaldi",2025/11/30
Glory Box,Portishead,Dummy,77.0,1994-01-01,1994,29,"'trip-hop', 'electronic', 'female vocalists', 'chillout', 'trip hop'","'trip-hop', 'electronic', 'trip hop'",120.0,0.2875,1.1687,neutral,Glory Box Portishead,2025/11/30
Gloryhammer,Gloryhammer,Legends from Beyond the Galactic Terrorvortex,50.0,2019-05-31,2019,5,"'Power metal', '2010s', '2019'",'Power metal',137.0,0.2272,1.0558,energetic,Gloryhammer Gloryhammer,2025/11/30
Glycerine - Remastered,Bush,Sixteen Stone (Remastered),75.0,1994-12-06,1994,30,"'Grunge', 'post-grunge'",'Grunge',115.0,0.1515,0.8556,neutral,Glycerine - Remastered Bush,2025/11/30
Gods of War,Brothers of Metal,Prophecy of Ragnarök,44.0,2017-04-01,2017,7,,,156.0,0.2528,1.075,energetic,Gods of War Brothers of Metal,2025/11/30
Goldeneye,Tina Turner,Goldeneye,54.0,1995-01-01,1995,29,"'pop', 'female vocalists', 'rock', 'soul', '80s'","'pop', 'rock', 'soul'",102.0,0.1056,1.0717,neutral,Goldeneye Tina Turner,2025/11/30
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",95.0,2024-04-05,2024,0,"'pop', 'seen live', 'indie pop', 'synthpop', 'electropop'","'pop', 'indie pop', 'synthpop', 'electropop'",117.0,0.2405,1.1182,neutral,"Good Luck, Babe! Chappell Roan",2025/11/30
Granda,Brodka,Granda,49.0,2010-09-20,2010,14,"'alternative', 'polish', 'electronic', 'folk', 'female vocalists'","'alternative', 'electronic'",131.0,0.2342,1.1702,energetic,Granda Brodka,2025/11/30
Gravity,Sara Bareilles,Little Voice,55.0,2024-01-12,2024,0,"'female vocalists', 'pop', 'singer-songwriter', 'piano', 'acoustic'",'pop',125.0,0.1674,0.8304,energetic,Gravity Sara Bareilles,2025/11/30
Grażka,Domowe Melodie,Domowe Melodie,42.0,2013-11-20,2013,11,"'polish', 'ok'",,122.0,0.2167,1.1102,energetic,Grażka Domowe Melodie,2025/11/30
Green Green Grass,George Ezra,Gold Rush Kid,54.0,2022-04-22,2022,1,"'indie', 'folk', 'singer-songwriter', 'british', 'seen live'",,112.0,0.2077,1.1547,bright,Green Green Grass George Ezra,2025/11/30
Guasto D'Amore,Bresh,Guasto D'Amore,61.0,2025-06-06,2025,0,"'MySpotigramBot', '-1001747063611', '-1001854528204', '-1001578764788', '-1001819731063'",,104.0,0.1975,1.0527,neutral,Guasto D'Amore Bresh,2025/11/30
Gumisie,Andrzej Zaucha,The Best Disney... Ever!,39.0,2011-01-01,2011,12,"'jazz', 'polish', 'swing', 'funk', 'poetry'","'jazz', 'swing', 'funk'",137.0,0.2118,1.0477,energetic,Gumisie Andrzej Zaucha,2025/11/30
Gunfight,SICK PUPPIES,Connect,58.0,2013-01-01,2013,11,"'rock', 'alternative rock', 'hard rock', 'alternative', 'australian'","'rock', 'alternative rock', 'hard rock', 'alternative'",115.0,0.302,1.0493,neutral,Gunfight SICK PUPPIES,2025/11/30
Gwiazdozbiór Strzelca,Snowman,Gwiazdozbiór,14.0,2017,2017,7,"'polish', '2017 single'",,92.0,0.2166,0.9569,neutral,Gwiazdozbiór Strzelca Snowman,2025/11/30
HERO,Kizo,HERO,58.0,2024-06-19,2024,0,,,144.0,0.2224,1.1738,energetic,HERO Kizo,2025/11/30
HIPNOZA,NIKOŚ,HIPNOZA,61.0,2023-12-30,2023,1,"'polish', 'poland', 'polskie'",,170.0,0.1302,1.3977,energetic,HIPNOZA NIKOŚ,2025/11/30
HISS,Megan Thee Stallion,HISS,66.0,2024-01-26,2024,0,"'rap', 'Hip-Hop', 'trap', 'hip hop', 'american'","'rap', 'Hip-Hop', 'trap'",112.0,0.3225,1.4989,bright,HISS Megan Thee Stallion,2025/11/30
Half On A Baby,Shivaree,Tainted Love: Mating Calls And Fight Songs,26.0,2007-07-31,2007,17,"'female vocalists', 'indie', 'alternative', 'rock', 'pop'","'alternative', 'rock', 'pop'",115.0,0.2199,1.0817,bright,Half On A Baby Shivaree,2025/11/30
Halo 3: One Final Effort,Marty O’Donnel,Game Music,11.0,2012-10-23,2012,12,,,125.0,0.1102,0.8262,energetic,Halo 3: One Final Effort Marty O’Donnel,2025/11/30
Hand in My Pocket - 2015 Remaster,Alanis Morissette,Jagged Little Pill (2015 Remaster),74.0,1995,1995,29,"'rock', 'alternative rock', 'Canadian', 'mistagged', '1990s'","'rock', 'alternative rock'",92.0,0.1467,0.9369,neutral,Hand in My Pocket - 2015 Remaster Alanis Morissette,2025/11/30
Handwritten,The Gaslight Anthem,Handwritten (Deluxe Version),44.0,2012-01-01,2012,12,"'alternative rock', 'punk rock', 'Rock and Roll', 'seen live', 'pop'","'alternative rock', 'pop'",112.0,0.2242,0.9483,neutral,Handwritten The Gaslight Anthem,2025/11/30
Happy Together,Trouvere,Happy Together,77.0,1967,1967,57,"'medieval', 'medieval folk', 'folk', 'early music', 'Mittelalter'","'medieval', 'early music'",125.0,0.2102,1.1481,energetic,Happy Together Trouvere,2025/11/30
Happy?,Mudvayne,Lost and Found,70.0,2005,2005,19,"'Nu Metal', 'metal', 'alternative metal', 'rock', 'mudvayne'","'Nu Metal', 'metal', 'rock'",100.0,0.2555,1.1114,bright,Happy? Mudvayne,2025/11/30
Havana (feat. Young Thug),Camila Cabello,Camila,84.0,2018-01-12,2018,6,"'pop', 'female vocalists', 'cuba', 'cuban', 'dance'",'pop',104.0,0.2436,1.1396,neutral,Havana (feat. Young Thug) Camila Cabello,2025/11/30
Head & Heart (feat. MNEK),Joel Corry,Head & Heart (feat. MNEK),79.0,2020-07-03,2020,3,"'electronic', 'House', 'dance', 'EDM', 'british'","'electronic', 'House'",122.0,0.2961,1.2033,energetic,Head & Heart (feat. MNEK) Joel Corry,2025/11/30
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,Heartbreak Anthem (with David Guetta & Little Mix),73.0,2021-05-20,2021,2,"'House', 'electronic', 'pop', 'dance', 'swedish'","'House', 'electronic', 'pop'",125.0,0.2091,1.0248,energetic,Heartbreak Anthem (with David Guetta & Little Mix) Galantis,2025/11/30
Heat Waves,Glass Animals,Dreamland (+ Bonus Levels),88.0,2020-08-07,2020,4,"'electronic', 'seen live', 'trip-hop', 'indie', 'british'","'electronic', 'trip-hop'",161.0,0.277,1.1875,energetic,Heat Waves Glass Animals,2025/11/30
Heathens,Twenty One Pilots,Heathens,84.0,2016-06-16,2016,7,"'electronic', 'alternative', 'indie pop', 'seen live', 'indie'","'electronic', 'alternative', 'indie pop'",91.0,0.2035,1.0993,neutral,Heathens Twenty One Pilots,2025/11/30
Heather,Conan Gray,Kid Krow,86.0,2020-03-20,2020,4,"'seen live', 'indie', 'pop', 'indie pop', 'american'","'pop', 'indie pop'",137.0,0.2271,0.9549,energetic,Heather Conan Gray,2025/11/30
Heaven Can Wait ,Gamma Ray,Heading for Tomorrow ,37.0,2015-01-30,2015,9,,,99.0,0.2071,1.0747,neutral,Heaven Can Wait  Gamma Ray,2025/11/30
Heaven Can Wait - Remastered in 2015,Gamma Ray,Heading for Tomorrow (Anniversary Edition),27.0,2015-07-24,2015,9,,,99.0,0.2392,1.091,bright,Heaven Can Wait - Remastered in 2015 Gamma Ray,2025/11/30
Heaven Knows,The Pretty Reckless,Going to Hell,82.0,1984,1984,40,"'rock', 'alternative', 'female vocalists', 'post-grunge', 'indie rock'","'rock', 'alternative', 'indie rock'",112.0,0.2214,1.0262,neutral,Heaven Knows The Pretty Reckless,2025/11/30
Hej Hej!,Daria Zawiałow,Helsinki,57.0,2019-03-08,2019,4,"'polish', 'electronic', 'pop', 'seen live', 'alternative'","'electronic', 'pop', 'alternative'",137.0,0.2481,1.1492,energetic,Hej Hej! Daria Zawiałow,2025/11/30
Hej panie!,Cyrk Deriglasoff,Magia y tresura,27.0,2019-04-01,2019,4,"'rock', 'alternative', 'alternative rock', 'Post punk', 'folk rock'","'rock', 'alternative', 'alternative rock', 'Post punk'",108.0,0.1484,1.1101,neutral,Hej panie! Cyrk Deriglasoff,2025/11/30
Hej!,Sosnowski,Tylko się nie denerwuj,44.0,2021-10-08,2021,2,"'electronica', 'minimal', 'Progressive', 'Progressive House', 'electronic'","'electronica', 'minimal', 'Progressive', 'Progressive House', 'electronic'",104.0,0.2739,1.0621,neutral,Hej! Sosnowski,2025/11/30
Hel,Brothers of Metal,Emblas Saga,48.0,2020-01-10,2020,4,,,144.0,0.0779,1.0094,energetic,Hel Brothers of Metal,2025/11/30
Her morning elegance,Pidżama Porno,Her morning elegance,35.0,2023-11-17,2023,1,"'punk rock', 'polish', 'rock', 'alternative', 'punk'","'rock', 'alternative', 'punk'",100.0,0.1728,0.9513,bright,Her morning elegance Pidżama Porno,2025/11/30
"Herbs, Good Hygiene and Socks",Lovage,Lovage: Music to Make Love to Your Old Lady By,30.0,2001-11-06,2001,23,"'trip-hop', 'downtempo', 'electronic', 'mike patton', 'chillout'","'trip-hop', 'downtempo', 'electronic'",131.0,0.1846,1.0672,energetic,"Herbs, Good Hygiene and Socks Lovage",2025/11/30
Here I Go,eM,Here I Go,48.0,2025-05-09,2025,0,,,122.0,0.0487,0.9189,neutral,Here I Go eM,2025/11/30
Here I Go - Peaceful Mind Remix,eM,Here I Go,0.0,2012-10-08,2012,12,,,125.0,0.2984,1.6942,energetic,Here I Go - Peaceful Mind Remix eM,2025/11/30
Here With Me,d4vd,Petals to Thorns,34.0,2005-06-13,2005,19,"'rnb', 'pop', 'rock', 'dream pop', 'seen live'","'pop', 'rock', 'dream pop'",131.0,0.1489,0.9571,energetic,Here With Me d4vd,2025/11/30
Herr Mannelig ,Garmarna,Guds spelemän ,51.0,1996-02-14,1996,28,,,156.0,0.1358,0.9528,energetic,Herr Mannelig  Garmarna,2025/11/30
Herr Mannelig - 2023 Remastered,Garmarna,Guds spelemän (2023 Remastered),51.0,1996-02-14,1996,28,,,156.0,0.186,0.9432,energetic,Herr Mannelig - 2023 Remastered Garmarna,2025/11/30
Hey Driver (feat. The War and Treaty),Zach Bryan,Zach Bryan,77.0,2023-08-25,2023,1,"'country', 'singer-songwriter', 'americana', 'Alt-country', 'country rock'","'country', 'americana', 'country rock'",108.0,0.2147,0.951,neutral,Hey Driver (feat. The War and Treaty) Zach Bryan,2025/11/30
Hideaway,Kiesza,Sound Of A Woman,70.0,2014-10-17,2014,10,"'dance', 'electronic', 'deep house', 'House', '2014'","'electronic', 'deep house', 'House'",122.0,0.0976,1.2902,energetic,Hideaway Kiesza,2025/11/30
Higher,Remy Cooper,Higher,65.0,2010-01-01,2010,14,,,110.0,0.2463,1.2351,bright,Higher Remy Cooper,2025/11/30
Highschool Lover,Air,The Virgin Suicides (Original Motion Picture Score),61.0,2000-02-25,2000,24,"'electronic', 'chillout', 'ambient', 'french', 'electronica'","'electronic', 'ambient', 'electronica'",131.0,0.127,0.7777,energetic,Highschool Lover Air,2025/11/30
Himinndotter,Wardruna,Birna,42.0,2025-01-24,2025,0,"'folk', 'neo-pagan folk'",,120.0,0.16,0.8159,neutral,Himinndotter Wardruna,2025/11/30
Hits 2000',Trinix Remix,Hits 2000',59.0,2023-02-07,2023,1,,,120.0,0.1984,1.1713,neutral,Hits 2000' Trinix Remix,2025/11/30
Hits 2023,Trinix Remix,Hits 2023,59.0,2024-02-05,2024,0,,,128.0,0.2157,1.1793,energetic,Hits 2023 Trinix Remix,2025/11/30
Hold Me,Delta Heavy,Overkill / Hold Me,34.0,2011-10-24,2011,13,"'dubstep', 'neurofunk', 'hipsters', 'Brostep'","'dubstep', 'neurofunk', 'Brostep'",141.0,0.2815,1.0828,energetic,Hold Me Delta Heavy,2025/11/30
Holding My Breath (feat. Estel Luz),The Sweet Life Society,Swing circus,6.0,2014-07-15,2014,10,,,108.0,0.2734,1.2293,bright,Holding My Breath (feat. Estel Luz) The Sweet Life Society,2025/11/30
Hollow Knight Piano Collections,Christopher Larkin,Hollow Knight Piano Collections,36.0,2019-11-28,2019,5,,,131.0,0.0367,0.4079,neutral,Hollow Knight Piano Collections Christopher Larkin,2025/11/30
Holy (feat. Chance The Rapper),Justin Bieber,Justice,70.0,2020-09-18,2020,3,"'pop', 'black metal', 'justin bieber', 'rnb', 'Hip-Hop'","'pop', 'black metal', 'Hip-Hop'",125.0,0.0939,1.0945,energetic,Holy (feat. Chance The Rapper) Justin Bieber,2025/11/30
Home,Edward Sharpe & The Magnetic Zeros,Up From Below,68.0,2009-07-14,2009,14,"'folk', 'indie', 'indie folk', 'seen live', 'indie pop'","'indie folk', 'indie pop'",112.0,0.222,0.9659,neutral,Home Edward Sharpe & The Magnetic Zeros,2025/11/30
Home,Good Neighbours,Home,68.0,2009-07-14,2009,15,"'indie', 'indie pop', 'dance', 'british', 'ambient'","'indie pop', 'ambient'",152.0,0.2656,0.9704,energetic,Home Good Neighbours,2025/11/30
Houdini,Dua Lipa,Houdini,81.0,2024-05-31,2024,0,"'pop', 'seen live', 'electropop', 'synthpop', 'british'","'pop', 'electropop', 'synthpop'",117.0,0.2546,1.1708,bright,Houdini Dua Lipa,2025/11/30
How Did You Love,Shinedown,Threat to Survival,64.0,2015-09-18,2015,9,"'rock', 'alternative', 'alternative rock', 'hard rock', 'pop rock'","'rock', 'alternative', 'alternative rock', 'hard rock'",125.0,0.2476,1.0274,energetic,How Did You Love Shinedown,2025/11/30
Hunger,Ross Copperman,Hunger,56.0,2015-04-21,2015,8,"'singer-songwriter', 'acoustic', 'pop rock', 'piano rock', 'pop'",'pop',156.0,0.2017,0.8375,energetic,Hunger Ross Copperman,2025/11/30
Hungry Heart,Declan J Donovan,Hungry Heart,45.0,2024-01-05,2024,0,"'one track mind', 'good left undone'",,131.0,0.2366,1.1748,energetic,Hungry Heart Declan J Donovan,2025/11/30
Hurt,OneRepublic,Artificial Paradise (Deluxe),52.0,2024-07-12,2024,0,,,91.0,0.2668,1.0932,neutral,Hurt OneRepublic,2025/11/30
Hush the Storms Away,Varien,Hush the Storms Away,41.0,2019-05-15,2019,5,,,112.0,0.1931,1.0661,bright,Hush the Storms Away Varien,2025/11/30
Hymn (J. Słowacki),sanah,sanah śpiewa Poezyje,53.0,2022-11-25,2022,1,'slowacki',,134.0,0.0984,1.0015,energetic,Hymn (J. Słowacki) sanah,2025/11/30
Hymn for the Weekend,Coldplay,A Head Full of Dreams,86.0,2015-12-04,2015,9,"'rock', 'alternative', 'britpop', 'alternative rock', 'indie'","'rock', 'alternative', 'britpop', 'alternative rock'",91.0,0.135,1.0031,bright,Hymn for the Weekend Coldplay,2025/11/30
Hypnotized,Purple Disco Machine,Exotica,76.0,2025-01-10,2025,0,"'House', 'deep house', 'electronic', 'Disco', 'german'","'House', 'deep house', 'electronic', 'Disco'",108.0,0.2792,1.1791,neutral,Hypnotized Purple Disco Machine,2025/11/30
Hysteria,Muse,Absolution,78.0,2003-09-15,2003,20,"'alternative rock', 'rock', 'Muse', 'alternative', 'Progressive rock'","'alternative rock', 'rock', 'alternative', 'Progressive rock'",125.0,0.1939,1.0276,energetic,Hysteria Muse,2025/11/30
I Ain't Worried,OneRepublic,I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick),85.0,2022-05-13,2022,2,"'rock', 'pop rock', 'alternative', 'alternative rock', 'indie'","'rock', 'alternative', 'alternative rock'",141.0,0.232,1.1826,energetic,I Ain't Worried OneRepublic,2025/11/30
"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",Męskie Granie Orkiestra,"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",65.0,2021-06-30,2021,2,"'seen live', 'polish', 'rock', 'alternative rock', 'polish rock'","'rock', 'alternative rock'",117.0,0.2558,1.1201,neutral,"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino) Męskie Granie Orkiestra",2025/11/30
I Close My Eyes,Shivaree,Who's Got Trouble?,69.0,2018-03-16,2018,6,"'female vocalists', 'indie', 'alternative', 'rock', 'pop'","'alternative', 'rock', 'pop'",128.0,0.1911,1.14,energetic,I Close My Eyes Shivaree,2025/11/30
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,87.0,2024-04-05,2024,0,"'sample', 'the worst thing ever to happen to music', 'lazy remake', 'DAVID GUETTA - TOP HITS'",,131.0,0.2997,1.0784,energetic,I Don't Wanna Wait David Guetta,2025/11/30
I Don't Want To Hear It Anymore,Dusty Springfield,Dusty In Memphis,42.0,2008,2008,15,"'soul', 'female vocalists', '60s', 'pop', 'oldies'","'soul', 'pop'",122.0,0.0786,0.9284,energetic,I Don't Want To Hear It Anymore Dusty Springfield,2025/11/30
I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,85.0,2024-05-10,2024,0,"'Hip-Hop', 'rap', 'trap', 'cloud rap', 'pop'","'Hip-Hop', 'rap', 'trap', 'pop'",128.0,0.222,1.0586,energetic,I Had Some Help (Feat. Morgan Wallen) Post Malone,2025/11/30
I Just Can't Wait to Be King,Jason Weaver,The Lion King,74.0,1994-01-01,1994,29,"'Soundtrack', 'Disney', 'Lion King', 'mr bean', 'pop'","'Soundtrack', 'Disney', 'pop'",99.0,0.0735,1.2132,bright,I Just Can't Wait to Be King Jason Weaver,2025/11/30
